method,task,sample_id,input_tokens,em,f1,answers,prediction
RoPE,passage_retrieval_en,0,8192,0,0.08695652173913042,"[""Paragraph 15""]", 1 . 2 . 3 . 4 . 5 . 6 . 7 . 8 . 9 . 10 . 11 . 12 . 13 . 14 . 15 . 16 . 17 . 18 . 19 . 20 . 21 . 
RoPE,passage_retrieval_en,1,8192,0,0.058823529411764705,"[""Paragraph 8""]", 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32
RoPE,passage_retrieval_en,2,8192,0,0.0,"[""Paragraph 18""]", 1 : 1 – 2 2 : 1 – 2 3 : 1 – 2 4 : 1 – 2 5 : 1 – 2 6 : 1 – 2 7 : 1 – 2 8 : 1 – 2
RoPE,passage_retrieval_en,3,8192,0,0.06060606060606061,"[""Paragraph 17""]", 1 : 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 
RoPE,passage_retrieval_en,4,8192,0,0.08695652173913042,"[""Paragraph 14""]", 1 . 2 . 3 . 4 . 5 . 6 . 7 . 8 . 9 . 10 . 11 . 12 . 13 . 14 . 15 . 16 . 17 . 18 . 19 . 20 . 21 . 
RoPE,passage_retrieval_en,5,8192,0,0.058823529411764705,"[""Paragraph 3""]", 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32
RoPE,passage_retrieval_en,6,8192,0,0.0,"[""Paragraph 24""]", 1 : 1 : 1 : 1 : 1 : 1 : 1 : 1 : 1 : 1 : 1 : 1 : 1 : 1 : 1 : 1 : 1 : 1 : 1 : 1 : 1 : 
RoPE,passage_retrieval_en,7,8192,0,0.0,"[""Paragraph 27""]", 1 . 2 . 3 . 4 . 5 . 6 . 7 . 8 . 9 . 10 . 11 . 12 . 13 . 14 . 15 . 16 . 17 . 18 . 19 . 20 . 21 . 
RoPE,passage_retrieval_en,8,8192,0,0.0,"[""Paragraph 30""]", 1 . 2 . 3 . 4 . 5 . 6 . 7 . 8 . 9 . 10 . 11 . 12 . 13 . 14 . 15 . 16 . 17 . 18 . 19 . 20 . 21 . 
RoPE,passage_retrieval_en,9,8192,0,0.08695652173913042,"[""Paragraph 12""]", 1 . 2 . 3 . 4 . 5 . 6 . 7 . 8 . 9 . 10 . 11 . 12 . 13 . 14 . 15 . 16 . 17 . 18 . 19 . 20 . 21 . 
RoPE,passage_retrieval_en,10,8192,0,0.0,"[""Paragraph 22""]", 1 : 2 2 : 3 3 : 4 4 : 5 5 : 6 6 : 7 7 : 8 8 : 9 9 : 10 10 : 11 11 : 12 12 : 13 13 : 
RoPE,passage_retrieval_en,11,8192,0,0.0,"[""Paragraph 30""]", 1 – 2 3 – 4 5 – 6 7 – 8 9 – 10 11 – 12 13 – 14 15 – 16 17 – 18 19 – 20 21 – 22 23 – 24 25 – 
RoPE,passage_retrieval_en,12,8192,0,0.0,"[""Paragraph 24""]", 1 . 2 . 3 . 4 . 5 . 6 . 7 . 8 . 9 . 10 . 11 . 12 . 13 . 14 . 15 . 16 . 17 . 18 . 19 . 20 . 21 . 
RoPE,passage_retrieval_en,13,8192,0,0.058823529411764705,"[""Paragraph 19""]", 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32
RoPE,passage_retrieval_en,14,8192,0,0.058823529411764705,"[""Paragraph 3""]", 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32
RoPE,passage_retrieval_en,15,8192,0,0.058823529411764705,"[""Paragraph 8""]", 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32
RoPE,passage_retrieval_en,16,8192,0,0.058823529411764705,"[""Paragraph 3""]", 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32
RoPE,passage_retrieval_en,17,8192,0,0.0,"[""Paragraph 17""]", 1st 2nd 3rd 4th 5th 6th 7th 8th 9th 10th 11th 12th 13th 14th 15th 16th 17th 18th 19th 20th 21st 
RoPE,passage_retrieval_en,18,8192,0,0.058823529411764705,"[""Paragraph 4""]", 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32
RoPE,passage_retrieval_en,19,8192,0,0.06060606060606061,"[""Paragraph 3""]", 1 : 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 
RoPE,passage_retrieval_en,20,8192,0,0.058823529411764705,"[""Paragraph 24""]", 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32
RoPE,passage_retrieval_en,21,8192,0,0.08695652173913042,"[""Paragraph 2""]", 1 . 2 . 3 . 4 . 5 . 6 . 7 . 8 . 9 . 10 . 11 . 12 . 13 . 14 . 15 . 16 . 17 . 18 . 19 . 20 . 21 . 
RoPE,passage_retrieval_en,22,8192,0,0.08695652173913042,"[""Paragraph 6""]", 1 . 2 . 3 . 4 . 5 . 6 . 7 . 8 . 9 . 10 . 11 . 12 . 13 . 14 . 15 . 16 . 17 . 18 . 19 . 20 . 21 . 
RoPE,passage_retrieval_en,23,8192,0,0.08695652173913042,"[""Paragraph 12""]", 1 . 2 . 3 . 4 . 5 . 6 . 7 . 8 . 9 . 10 . 11 . 12 . 13 . 14 . 15 . 16 . 17 . 18 . 19 . 20 . 21 . 
RoPE,passage_retrieval_en,24,8192,0,0.0,"[""Paragraph 24""]", 1 . 2 . 3 . 4 . 5 . 6 . 7 . 8 . 9 . 10 . 11 . 12 . 13 . 14 . 15 . 16 . 17 . 18 . 19 . 20 . 21 . 
