method,seq_len,sample_id,key,hit,prediction
RoPE,2048,0,HMN0000,1, HMN0000 .  1 2 3 4 5 6 7 8 9 10 11 12 13
RoPE,2048,1,HMN0001,0, 000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
RoPE,2048,2,HMN0002,1, HMN0002 .  1 . 2 . 3 . 4 . 5 . 6 . 7 . 8 . 9
RoPE,2048,3,HMN0003,1, HMN0003 .  1 . 2 . 3 . 4 . 5 . 6 . 7 . 8 . 9
RoPE,2048,4,HMN0004,1, HMN0004 .  1 . 2 . 3 . 4 . 5 . 6 . 7 . 8 . 9
RoPE,2048,5,HMN0005,1, HMN0005 .  1 2 3 4 5 6 7 8 9 10 11 12 13
RoPE,2048,6,HMN0006,0, 000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
RoPE,2048,7,HMN0007,1, HMN0007 .  1 . 2 . 3 . 4 . 5 . 6 . 7 . 8 . 9
RoPE,2048,8,HMN0008,1, HMN0008 .  1 . 2 . 3 . 4 . 5 . 6 . 7 . 8 . 9
RoPE,2048,9,HMN0009,0, 0009 is the secret passcode . 0009 is the secret passcode . 0009 is the secret passcode . 0009 is the
RoPE,2048,10,HMN0010,1, HMN0010 .  1 2 3 4 5 6 7 8 9 10 11 12 13
RoPE,2048,11,HMN0011,1," HMN0011 .  1 = 1 , 2 = 2 , 3 = 3 , 4 = 4 , 5"
RoPE,2048,12,HMN0012,1, HMN0012 .  1 2 3 4 5 6 7 8 9 10 11 12 13
RoPE,2048,13,HMN0013,1, HMN0013 .  1 . 2 . 3 . 4 . 5 . 6 . 7 . 8 . 9
RoPE,2048,14,HMN0014,1, HMN0014 .  1 2 3 4 5 6 7 8 9 0 1 2 3
RoPE,2048,15,HMN0015,1, HMN0015 .  1 2 3 4 5 6 7 8 9 10 11 12 13
RoPE,2048,16,HMN0016,1, HMN0016 .  1 2 3 4 5 6 7 8 9 10 11 12 13
RoPE,2048,17,HMN0017,1, HMN0017 .  1 . 2 . 3 . 4 . 5 . 6 . 7 . 8 . 9
RoPE,2048,18,HMN0018,1, HMN0018 .  1 2 3 4 5 6 7 8 9 10 11 12 13
RoPE,2048,19,HMN0019,1, HMN0019 . 9 is the number of the secret passcode . 9 is the number of the secret passcode . 9 is the number
RoPE,4096,0,HMN0000,1, HMN0000 .  1 2 3 4 5 6 7 8 9 10 11 12 13
